6.42309 2161.76 16.0 0.0 58.61 376.4
5.53381 1787.55 17.0 0.0 58.32 322.7
6.30463 1777.42 18.0 0.0 59.81 377.1
6.76288 1694.84 19.0 0.0 59.12 399.8
6.23082 1404.65 20.0 0.0 59.86 372.9
6.00576 1363.03 21.0 0.0 59.62 358.0
6.5594 1476.46 22.0 0.0 60.47 396.6
6.23091 1517.81 23.0 0.0 60.06 374.2
7.19012 1522.73 24.0 0.0 60.46 434.7
6.13688 1582.54 25.0 0.0 59.82 367.1
6.71766 1393.85 26.0 0.0 59.26 398.1
6.7406 1894.02 27.0 0.0 59.53 401.2
6.5721 1842.14 28.0 0.0 59.35 390.0
6.96193 2008.04 29.0 0.0 58.33 406.1
6.30627 2128.99 30.0 0.0 58.66 369.9
7.12203 2123.58 31.0 0.0 58.87 419.3
