0.0 16.0 2301.0
0.0 17.0 2134.0
0.0 18.0 2265.0
0.0 19.0 2220.0
0.0 20.0 2253.0
0.0 21.0 2328.0
0.0 22.0 2342.0
0.0 23.0 2138.0
0.0 24.0 2424.0
0.0 25.0 2287.0
0.0 26.0 2267.0
0.0 27.0 2233.0
0.0 28.0 2330.0
0.0 29.0 2403.0
0.0 30.0 2200.0
0.0 31.0 2302.0
1.0 16.0 2510.0
1.0 17.0 2376.0
1.0 18.0 2446.0
1.0 19.0 2443.0
1.0 20.0 2447.0
1.0 21.0 2397.0
1.0 22.0 2465.0
1.0 23.0 2353.0
1.0 24.0 2489.0
1.0 25.0 2418.0
1.0 26.0 2474.0
1.0 27.0 2470.0
1.0 28.0 2448.0
1.0 29.0 2509.0
1.0 30.0 2211.0
1.0 31.0 2560.0
2.0 16.0 2835.0
2.0 17.0 2759.0
2.0 18.0 2827.0
2.0 19.0 2840.0
2.0 20.0 2809.0
2.0 21.0 2778.0
2.0 22.0 2837.0
2.0 23.0 2694.0
2.0 24.0 2836.0
2.0 25.0 2725.0
2.0 26.0 2824.0
2.0 27.0 2767.0
2.0 28.0 2940.0
2.0 29.0 2821.0
2.0 30.0 2215.0
2.0 31.0 2892.0
3.0 16.0 3020.0
3.0 17.0 2937.0
3.0 18.0 2980.0
3.0 19.0 3000.0
3.0 20.0 2991.0
3.0 21.0 2940.0
3.0 22.0 3013.0
3.0 23.0 2868.0
3.0 24.0 3035.0
3.0 25.0 2912.0
3.0 26.0 3004.0
3.0 27.0 2968.0
3.0 28.0 2976.0
3.0 29.0 3016.0
3.0 30.0 2215.0
3.0 31.0 3094.0
4.0 16.0 3473.0
4.0 17.0 3355.0
4.0 18.0 3411.0
4.0 19.0 3432.0
4.0 20.0 3389.0
4.0 21.0 3356.0
4.0 22.0 3418.0
4.0 23.0 3329.0
4.0 24.0 3423.0
4.0 25.0 3342.0
4.0 26.0 3409.0
4.0 27.0 3372.0
4.0 28.0 3394.0
4.0 29.0 3440.0
4.0 30.0 2220.0
4.0 31.0 3515.0
5.0 16.0 3856.0
5.0 17.0 3770.0
5.0 18.0 3818.0
5.0 19.0 3831.0
