74.2274 2321.32 16.0 0.0 52.92 3928.0
69.0687 2328.69 17.0 0.0 52.82 3648.0
52.5742 2307.33 18.0 0.0 53.21 2797.0
62.8511 2300.29 19.0 0.0 53.05 3334.0
50.4153 2253.64 20.0 0.0 53.03 2673.0
57.788 2244.7 21.0 0.0 52.81 3052.0
49.1982 2258.72 22.0 0.0 52.86 2601.0
59.711 2242.68 23.0 0.0 53.05 3167.0
48.8843 2270.24 24.0 0.0 53.48 2614.0
58.2295 2328.89 25.0 0.0 53.27 3101.0
49.5201 2227.47 26.0 0.0 53.09 2629.0
59.2921 2281.08 27.0 0.0 53.02 3144.0
51.62 2346.38 28.0 0.0 52.99 2735.0
65.3119 2307.75 29.0 0.0 52.88 3454.0
57.2273 2392.16 30.0 0.0 53.05 3036.0
85.5542 2257.04 31.0 0.0 53.13 4545.0
